"price","size_sqft","lot_sqft","bedrooms","bathrooms","year_built","year_renovated","renovated","condition","location_quality","dist_center_km","crime_rate","school_rating","has_pool","garage_cars","waterfront"
10534900,2642,6129,3,3,1986,2013,"Yes","Good","High",3.17,36.5,7,"Yes",3,"No"
1436100,2050,4849,3,2.5,1970,NA,"No","Poor","Medium",13.17,45.5,6,"No",0,"No"
8348400,2211,6209,4,2.5,1979,NA,"No","Poor","Medium",17.59,38.6,6,"Yes",4,"No"
36396500,4028,6331,5,3,2009,NA,"No","Good","Premium",5.13,5.2,9,"Yes",3,"No"
8320800,2128,3220,3,3,1988,NA,"No","Fair","Medium",22.13,47.8,5,"Yes",4,"No"
3415100,889,3153,1,1.5,1931,NA,"No","Fair","Low",28.1,57.4,5,"No",0,"No"
1844800,1568,2606,3,2.5,1966,NA,"No","Poor","Medium",14.19,55.5,6,"No",1,"No"
3794200,1156,2975,2,2,1984,NA,"No","Fair","Low",31.56,100,2,"No",1,"No"
7992400,1171,3443,3,3,1950,NA,"No","Fair","Low",19.84,73,3,"No",0,"No"
38108300,1755,5856,4,4,2013,2024,"Yes","Excellent","Premium",1.91,30,10,"No",1,"No"
7748400,1412,2281,2,2,1960,NA,"No","Fair","Low",23.43,60.4,6,"No",2,"No"
3945600,1001,2122,1,2,1938,NA,"No","Fair","Low",18.67,77.3,4,"No",2,"No"
14730600,600,2000,2,3,1943,1966,"Yes","Excellent","Low",18.93,82.7,4,"No",0,"No"
5074500,1197,2242,2,2,1939,NA,"No","Fair","Low",22.25,59.9,5,"No",2,"No"
6786400,1131,3682,1,2,1992,NA,"No","Fair","Low",16.97,79.4,4,"No",2,"No"
3441600,600,2000,1,1.5,1930,NA,"No","Fair","Low",22.16,69.9,3,"No",1,"No"
35612300,1972,4283,3,2.5,2010,2024,"Yes","Good","High",9,16.9,9,"Yes",4,"No"
19378000,3257,9658,4,2.5,2022,2024,"Yes","Excellent","High",5.27,24.4,7,"Yes",3,"No"
2511300,739,2000,2,3,1984,NA,"No","Fair","Medium",21.26,43.9,6,"No",0,"No"
15416500,1556,2571,4,2.5,1995,NA,"No","Fair","Low",33.92,68,5,"No",1,"No"
2656100,1862,4512,2,2,1972,NA,"No","Fair","Medium",23.43,44.7,6,"No",0,"No"
2046600,1917,2464,2,1.5,1995,NA,"No","Fair","Medium",20.5,51.9,6,"No",2,"No"
6969000,1592,3499,3,2,1991,NA,"No","Fair","Low",36.74,76.8,6,"No",2,"No"
7727300,1780,4327,4,4,1974,NA,"No","Fair","Medium",18.62,56.7,7,"No",1,"No"
3763900,600,2000,3,2,1951,NA,"No","Poor","Low",34.5,62.7,4,"No",0,"No"
6957700,926,2160,3,2.5,1952,NA,"No","Fair","Low",31.08,86.9,4,"No",1,"No"
8248300,600,2642,2,1.5,1987,2014,"Yes","Good","Medium",19.76,57.4,6,"Yes",3,"No"
8863100,2222,6657,3,1.5,2006,NA,"No","Fair","High",5.87,36.1,8,"Yes",3,"No"
43024600,2791,9127,5,4.5,2011,2024,"Yes","Excellent","High",3.94,23.6,8,"No",1,"No"
40563400,2372,4293,4,2.5,2015,NA,"No","Good","Medium",20.53,44.3,9,"Yes",3,"No"
22136700,3029,4986,6,4,1980,1988,"Yes","Excellent","High",8.51,20.5,9,"Yes",3,"No"
4404000,1940,4807,2,2.5,2002,NA,"No","Good","Medium",10.42,65.9,8,"No",1,"No"
45005800,1422,4279,3,3,1996,2013,"Yes","Good","Low",26.41,55.2,6,"Yes",3,"No"
7941900,2261,6518,4,2.5,1964,NA,"No","Fair","Medium",23.7,49.7,7,"Yes",4,"No"
2293400,1390,2294,2,2.5,1986,NA,"No","Fair","Medium",16.41,42.9,7,"No",1,"No"
16387200,3271,5000,6,4.5,2009,NA,"No","Fair","High",7.35,20.2,7,"No",2,"No"
6660800,2320,4710,3,2,1972,1988,"Yes","Good","Medium",11.28,52.3,6,"No",1,"No"
13602200,1311,3733,2,3,2004,2011,"Yes","Excellent","Medium",19.48,75,5,"Yes",2,"No"
5746900,2210,4981,3,2.5,1961,NA,"No","Poor","Medium",17.4,50,6,"Yes",2,"No"
205216000,3313,10415,4,4,2008,NA,"No","Good","Premium",4.36,15.9,10,"Yes",3,"No"
13464800,1059,2786,3,3,1966,NA,"No","Fair","Low",37.01,70.3,7,"No",0,"No"
42725800,1560,4294,3,2,1965,1975,"Yes","Excellent","Low",36.41,62.5,7,"No",0,"No"
22903700,1903,4511,2,3,2002,2012,"Yes","Excellent","Medium",13.71,57,7,"Yes",3,"No"
13819300,1746,3595,2,1.5,2003,NA,"No","Good","Medium",19.81,47,5,"Yes",4,"No"
35567100,2167,2076,5,3,2009,2020,"Yes","Excellent","High",9.97,33,8,"No",1,"No"
6968300,1715,4151,4,4,1991,NA,"No","Good","Medium",24.62,34.4,6,"No",0,"No"
6113400,1994,3269,4,3.5,1982,NA,"No","Fair","High",4.29,32.1,8,"No",1,"No"
37890700,2511,8701,5,3.5,1993,NA,"No","Fair","High",3.21,19.3,9,"Yes",4,"No"
6316500,2183,6209,4,3,1987,NA,"No","Good","Medium",10.72,62.2,8,"No",1,"No"
14033700,1887,5872,4,3.5,1977,1997,"Yes","Excellent","Medium",18.81,60.2,6,"No",2,"No"
7957200,1805,5337,4,3.5,1945,NA,"No","Poor","Low",22.11,65.3,7,"No",2,"No"
3122900,1870,5525,2,2,2005,2023,"Yes","Good","Medium",11.93,49,7,"No",0,"No"
17192500,1516,4812,4,3,1993,NA,"No","Good","High",5.85,39.7,8,"Yes",3,"No"
6894700,1541,2583,4,3.5,1974,NA,"No","Poor","Low",28.81,93.9,2,"No",1,"No"
10415600,2087,3902,3,2.5,1997,NA,"No","Good","Medium",19.74,28,9,"Yes",3,"No"
6360700,1065,2605,1,1.5,1975,2003,"Yes","Good","Medium",9.05,45.8,9,"No",2,"No"
34885900,3130,4645,4,3.5,2001,2024,"Yes","Excellent","High",10.61,42.1,9,"No",2,"No"
6891500,2662,3451,5,3.5,1979,NA,"No","Poor","Medium",18.16,71.4,5,"Yes",3,"No"
22186800,4530,10442,5,3.5,2001,NA,"No","Fair","Premium",2.46,36.9,10,"Yes",2,"No"
3651600,1511,3827,2,1.5,1949,NA,"No","Poor","Low",30.59,83.5,5,"No",1,"No"
143541500,3409,7627,5,4.5,2004,2021,"Yes","Excellent","Premium",2.31,5.2,9,"Yes",4,"No"
102373900,2969,6347,4,3.5,2023,2024,"Yes","Good","Premium",4.12,12.8,10,"Yes",2,"No"
7383700,2184,8535,3,3,1995,2022,"Yes","Excellent","Medium",16.17,52.8,6,"No",2,"No"
3533700,1901,3623,3,3,1960,NA,"No","Poor","Medium",18.63,29.7,5,"No",2,"No"
4456200,2159,2985,5,4,1983,NA,"No","Fair","Medium",9.13,51.2,5,"No",0,"No"
4452900,1790,3751,2,2,1993,NA,"No","Good","Medium",9.86,55.2,5,"Yes",4,"No"
5296500,1691,3275,3,1.5,2006,2012,"Yes","Excellent","Medium",9.37,41.1,9,"No",1,"No"
20733300,1117,2803,2,2,1968,1997,"Yes","Excellent","Low",30.98,67.1,6,"No",1,"No"
4419200,611,2000,2,2,1988,NA,"No","Good","Low",23.98,79.2,4,"No",1,"No"
7588900,1582,4101,4,3.5,1939,NA,"No","Fair","Low",19.05,100,6,"No",0,"No"
13995900,2170,4926,3,3,2011,NA,"No","Good","High",4.09,22.5,8,"Yes",4,"No"
12694600,1974,7248,4,2.5,1942,NA,"No","Fair","Low",34.97,100,5,"No",2,"No"
5604400,941,2000,3,3,1954,NA,"No","Fair","Low",26.26,73.4,5,"No",2,"No"
2141800,1120,2277,3,2.5,1975,NA,"No","Poor","Medium",15.62,42,6,"No",0,"No"
114411300,3421,5900,6,5,1996,NA,"No","Good","Premium",2.47,27.2,10,"Yes",3,"No"
216603500,3317,7171,4,2.5,2024,2024,"Yes","Excellent","High",11.46,25.2,8,"Yes",3,"No"
4385800,1965,5048,4,4,1996,NA,"No","Fair","Medium",19.75,60.9,6,"No",1,"No"
6920900,2246,4608,3,2,2010,NA,"No","Fair","High",8.24,26.3,8,"No",2,"No"
6303500,1556,4377,2,3.5,1972,NA,"No","Fair","Low",24.1,76.4,2,"No",1,"No"
17779100,2503,6085,5,4,1985,NA,"No","Fair","Medium",21.82,58.8,6,"Yes",3,"No"
7703100,1373,2572,4,4,1940,NA,"No","Poor","Low",22.81,74.5,6,"No",1,"No"
5915100,2149,6512,3,2.5,1981,NA,"No","Fair","High",5.48,29.1,7,"No",1,"No"
4155200,2083,3933,3,2.5,2012,NA,"No","Fair","Medium",19.95,40.8,8,"No",0,"No"
6727500,1677,4278,3,2.5,2012,2024,"Yes","Excellent","High",3.82,13.1,9,"No",1,"No"
6326100,1418,3318,2,1.5,1969,NA,"No","Fair","Low",37.58,79.4,3,"No",2,"No"
1551000,1113,3624,3,3,1967,NA,"No","Poor","Medium",10.15,68.3,6,"No",0,"No"
2623700,2364,4479,3,3,1973,NA,"No","Fair","Medium",20.73,62.6,7,"No",0,"No"
20483500,600,2000,3,1.5,1991,2008,"Yes","Excellent","Low",19.95,59.8,6,"No",2,"No"
8469600,2079,4438,4,3,1963,NA,"No","Fair","Medium",20.26,55,6,"Yes",3,"No"
8312600,1940,5470,2,2.5,2004,2024,"Yes","Excellent","Medium",11.82,28.4,6,"No",0,"No"
12595400,1069,3577,3,2,1944,NA,"No","Fair","Low",16.59,67.6,4,"Yes",4,"No"
2596200,1620,2580,4,3,1979,NA,"No","Fair","Medium",10.56,50,6,"No",0,"No"
3311300,1758,4309,2,2,1977,NA,"No","Poor","Medium",14.16,33.2,6,"No",2,"No"
11697700,1319,2787,4,4,2012,2024,"Yes","Excellent","Medium",8.22,54.4,6,"No",1,"No"
25916900,1578,3419,2,3,1947,NA,"No","Fair","Low",33.81,80.1,6,"Yes",4,"No"
8277300,1425,4425,2,3,1988,NA,"No","Good","High",8.36,23,7,"No",1,"No"
3156600,1824,4294,2,1,1948,NA,"No","Poor","Low",36.12,80.8,3,"No",1,"No"
152496900,4047,5258,6,4,2015,NA,"No","Good","Premium",4.28,11.5,9,"Yes",2,"No"
6530200,2367,5903,5,4,2002,NA,"No","Good","Medium",19.44,38,4,"No",2,"No"
15886000,2105,7199,3,2,2011,2024,"Yes","Excellent","High",4.69,24,8,"No",1,"No"
15725500,2323,7024,5,4.5,2011,NA,"No","Fair","Medium",18.94,58,6,"Yes",2,"No"
4288100,976,2466,2,1.5,1980,NA,"No","Fair","Low",19.15,84.7,5,"No",1,"No"
9779800,1706,6046,4,3.5,2002,2022,"Yes","Good","Medium",15.07,65.6,6,"No",0,"No"
16277100,988,2188,3,2.5,1992,NA,"No","Fair","Low",20.68,62.6,5,"No",2,"No"
4518300,796,2119,1,1,1987,NA,"No","Good","Medium",12.91,38.3,7,"Yes",2,"No"
27789200,1863,6617,4,3,1998,2004,"Yes","Excellent","Medium",8.98,62,8,"No",2,"No"
4007700,1620,2971,4,3,1986,NA,"No","Fair","Medium",22.18,52.4,5,"No",0,"No"
1757200,1757,3458,2,2.5,1978,NA,"No","Poor","Medium",14.26,59.6,5,"No",2,"No"
68609400,3257,8955,6,4.5,2020,NA,"No","Good","High",3.74,26.4,9,"Yes",4,"No"
19869700,3176,9598,4,2,2008,2021,"Yes","Excellent","High",9.91,23.2,9,"No",1,"No"
3736500,2148,4401,5,4,1973,NA,"No","Poor","Medium",15.38,65,8,"No",1,"No"
4007300,1462,4381,3,3,1963,NA,"No","Fair","Low",36.91,78.1,4,"No",0,"No"
1495000,1755,4798,2,2,1980,NA,"No","Fair","Medium",8.08,28.4,4,"No",0,"No"
18149900,2008,5473,4,1.5,2019,2024,"Yes","Excellent","High",8.61,28.7,7,"No",1,"No"
55338400,2487,4095,4,3.5,2005,NA,"No","Good","High",8.61,34,9,"Yes",2,"No"
7136000,1467,5578,3,2.5,1932,NA,"No","Poor","Low",31.73,100,4,"No",2,"No"
8655300,798,2000,1,2,1997,NA,"No","Good","Low",30.46,69.5,4,"No",2,"No"
35989000,1539,3149,4,3,2000,NA,"No","Fair","Low",30.24,73.4,7,"Yes",3,"No"
15412200,3252,6056,4,3,2002,2024,"Yes","Excellent","High",7.47,38.2,8,"No",1,"No"
1813400,1130,3255,2,2,2008,NA,"No","Fair","Medium",14.88,55.7,5,"No",0,"No"
14663600,3197,9191,5,3.5,2017,2024,"Yes","Excellent","High",6.8,32.7,8,"Yes",3,"No"
7106200,2368,3168,5,3.5,2004,NA,"No","Good","Medium",19.62,69.8,8,"No",1,"No"
46547600,3426,7497,4,3.5,2007,NA,"No","Good","Premium",4.04,17.7,10,"Yes",2,"No"
48218800,2227,5432,5,3.5,2020,2024,"Yes","Excellent","High",11.87,33.5,8,"No",2,"No"
5756100,1595,6125,3,2.5,1968,NA,"No","Fair","Medium",13.29,45.2,8,"Yes",3,"No"
7024000,1032,4012,2,1,1952,NA,"No","Poor","Low",35.97,65.8,5,"No",2,"No"
1201900,971,2878,2,1.5,1981,NA,"No","Fair","Medium",15.77,50.3,5,"No",0,"No"
3928500,1722,4629,2,2,1964,NA,"No","Fair","Medium",13.23,63.3,6,"Yes",2,"No"
5286800,1037,2644,3,3,1973,1989,"Yes","Excellent","Medium",13.3,63.7,4,"No",2,"No"
10379600,2211,7258,5,4,1986,NA,"No","Fair","Medium",13.9,62,6,"Yes",2,"No"
13266300,2170,7760,3,3.5,1997,NA,"No","Good","Low",19.13,36.9,1,"No",0,"No"
3950500,600,2000,3,2.5,1984,NA,"No","Good","Medium",19.94,53.5,6,"No",2,"No"
8308300,1689,4321,3,3,1932,NA,"No","Poor","Low",27.35,75.2,2,"No",2,"No"
4420100,2099,5989,3,3.5,1985,NA,"No","Fair","Medium",12.89,58.9,8,"No",0,"No"
15280900,2654,5721,4,3.5,2010,2021,"Yes","Good","High",11.87,27.4,8,"No",2,"No"
7178600,1120,3745,3,2.5,1954,NA,"No","Fair","Low",26.52,70.4,4,"No",0,"No"
53096300,1519,2442,2,1.5,1991,2015,"Yes","Excellent","Low",27.13,27,6,"No",2,"No"
4134200,1206,2744,3,2,2003,NA,"No","Good","Medium",22.9,29.7,6,"No",1,"No"
2821100,1945,4976,3,1.5,1998,NA,"No","Fair","High",4.23,43.6,8,"No",1,"No"
3520500,1949,4286,3,2.5,1952,NA,"No","Poor","Low",38.37,87.7,1,"No",1,"No"
4416100,1844,4940,4,3,1960,NA,"No","Fair","Medium",17.17,60.7,9,"No",1,"No"
4395200,2193,6203,4,3.5,1973,NA,"No","Poor","Medium",9.05,0,7,"No",2,"No"
37694700,3066,7384,6,4,1985,NA,"No","Good","High",9.96,34.1,9,"No",2,"No"
9514900,1232,3166,2,2.5,1985,NA,"No","Fair","Low",16.97,63.8,6,"No",1,"No"
189334300,3245,9532,6,5,2013,2024,"Yes","Good","High",11.17,39.8,9,"Yes",3,"No"
127361200,3633,12591,6,5,2011,2024,"Yes","Good","Premium",2.3,22.3,8,"Yes",3,"No"
6012300,1053,2610,3,3,1969,NA,"No","Fair","Low",17.82,89.7,5,"No",1,"No"
5362200,1495,4881,2,2,1934,NA,"No","Fair","Low",30.9,68.1,8,"No",1,"No"
11739000,1339,2672,4,3.5,1969,NA,"No","Poor","Low",30.29,75.3,3,"No",2,"No"
29233900,3064,9242,5,4.5,2000,2024,"Yes","Excellent","High",3.88,35.6,8,"No",1,"No"
6285900,2115,9287,3,2.5,1989,NA,"No","Fair","Low",26.45,73.4,5,"No",1,"No"
24142000,2150,6909,4,3,2020,NA,"No","Good","High",5.63,24.7,8,"Yes",2,"No"
5690000,1700,2116,3,2.5,1992,NA,"No","Fair","Low",20.54,81.5,6,"No",0,"No"
7515700,1399,2000,3,2.5,1969,NA,"No","Poor","Low",33.36,56.6,2,"No",2,"No"
9617500,1430,4851,3,2.5,1974,NA,"No","Fair","Low",31.77,94.6,3,"No",2,"No"
1737400,1046,2777,3,2,1992,NA,"No","Fair","Medium",14.14,56.8,7,"No",0,"No"
65936300,3259,7749,5,3.5,1998,2024,"Yes","Excellent","Premium",1.31,9.9,9,"Yes",3,"No"
18986600,2350,4561,4,3,1988,NA,"No","Good","High",10.69,25.1,9,"Yes",2,"No"
35316500,4628,19105,4,3,2024,NA,"No","Good","Premium",5.58,0,9,"Yes",4,"No"
8955000,2600,9510,3,2,1994,NA,"No","Good","Medium",13.9,21.4,5,"Yes",3,"No"
14074400,1675,4160,4,3.5,2003,2021,"Yes","Good","Medium",22.38,50.6,8,"No",1,"No"
67561900,3035,8550,5,4,2012,NA,"No","Good","High",6.4,14.5,9,"Yes",3,"No"
44437100,2980,9611,3,2,1990,1997,"Yes","Good","High",7.01,33.1,8,"Yes",4,"No"
4714600,1249,2562,2,2.5,1997,NA,"No","Fair","Low",31.23,91.2,5,"No",0,"No"
9096300,1516,3984,3,3.5,1946,NA,"No","Fair","Low",38.06,77.4,5,"No",0,"No"
5337200,2109,5589,4,4,1989,NA,"No","Good","Medium",16.04,48.3,7,"No",0,"No"
5612900,1881,6637,2,1.5,2012,NA,"No","Good","High",10.19,46.7,8,"No",0,"No"
9548400,1255,3613,3,2.5,1948,NA,"No","Poor","Low",28.75,63,5,"No",2,"No"
11178500,2562,4689,3,2.5,2015,2022,"Yes","Good","High",6.4,41,8,"No",2,"No"
132004200,2031,8325,4,3,2000,2020,"Yes","Excellent","Medium",23.33,37.1,5,"Yes",4,"No"
24246500,2246,8302,5,3.5,1983,NA,"No","Good","Medium",23.48,24.8,8,"Yes",2,"No"
23212300,2182,7202,3,2,2022,NA,"No","Fair","High",10.04,19.9,7,"Yes",3,"No"
2148700,1334,2515,3,2.5,1987,NA,"No","Fair","Medium",18.14,60.2,5,"No",0,"No"
7639600,2946,6557,4,3,1971,NA,"No","Poor","Medium",24.44,41.9,7,"Yes",4,"No"
11872200,2248,4728,5,4,1991,2000,"Yes","Excellent","Medium",20.03,72.7,7,"No",1,"No"
39653800,1929,7395,4,3.5,1995,2019,"Yes","Excellent","High",7.98,28.4,8,"No",2,"No"
86281800,2743,6292,5,3.5,2000,2006,"Yes","Good","High",3.83,23.8,8,"Yes",3,"No"
4542700,1294,2760,2,2,1990,NA,"No","Fair","Medium",20.44,42.7,6,"Yes",2,"No"
9192700,1796,3463,3,3,1980,1989,"Yes","Excellent","Medium",15.59,50.3,7,"No",0,"No"
10878700,968,2041,1,2,1997,NA,"No","Good","Low",37.41,77.7,5,"No",2,"No"
21838100,3260,6125,4,3,1995,NA,"No","Fair","Premium",2.9,22.1,9,"Yes",3,"No"
10714500,2425,4971,5,4,2010,NA,"No","Good","Medium",24.96,48.7,7,"No",1,"No"
9241800,2482,3781,5,3.5,1991,NA,"No","Fair","High",4.72,31.6,7,"No",0,"No"
118779800,4252,12924,4,3,2006,2020,"Yes","Excellent","Premium",3.44,22.9,10,"Yes",3,"No"
9065900,900,2730,2,2.5,2000,NA,"No","Fair","Low",35.02,84.7,6,"No",1,"No"
26329500,3029,5418,5,4,2009,2024,"Yes","Good","Medium",11.44,67.1,8,"Yes",2,"No"
6337500,1418,2855,3,2.5,1998,NA,"No","Fair","Low",18.53,89.6,4,"No",1,"No"
2837800,1473,3633,3,3,2012,NA,"No","Fair","Medium",13.72,72.8,5,"No",2,"No"
6561700,600,2000,1,2,1932,NA,"No","Fair","Low",34.16,67.7,6,"No",0,"No"
4615900,1187,2618,1,1,2009,2024,"Yes","Excellent","Medium",23.15,66,6,"No",0,"No"
6752000,1967,3806,3,3,2004,NA,"No","Fair","Medium",12.24,70.8,7,"No",2,"No"
31969300,3100,7032,5,4,1986,2004,"Yes","Excellent","High",5.68,37.8,10,"Yes",3,"No"
41337800,4537,11852,4,3,2007,NA,"No","Good","Premium",2.08,10.7,8,"Yes",2,"No"
5717500,1738,5806,4,4.5,1947,NA,"No","Poor","Low",20.67,88.7,5,"No",0,"No"
14790900,2321,6178,4,3,2000,NA,"No","Good","High",11.28,17.9,8,"No",1,"No"
8661700,2307,7919,5,3.5,1998,NA,"No","Fair","Medium",17.27,51.7,10,"No",2,"No"
16171500,2840,11150,3,2,2004,NA,"No","Fair","Medium",11.19,46.5,5,"Yes",3,"No"
38899100,3661,4270,6,4.5,2009,NA,"No","Fair","Premium",1.72,14,9,"Yes",4,"No"
10370000,2203,4874,5,3.5,1999,NA,"No","Fair","High",5.51,32.3,8,"No",2,"No"
2183500,1214,3297,3,2,1981,NA,"No","Fair","Medium",24.42,63.1,8,"No",0,"No"
22939800,1616,3212,4,3,1968,NA,"No","Fair","Low",38.3,87.2,4,"Yes",3,"No"
50052400,3368,7533,6,4,2006,2024,"Yes","Excellent","High",8.16,16.9,10,"No",2,"No"
107797000,3051,6414,6,4.5,1993,2011,"Yes","Excellent","High",3.75,34.7,7,"No",3,"No"
5356500,643,2000,2,2,1979,NA,"No","Fair","Low",15.23,99.7,4,"No",1,"No"
4514800,1738,5142,3,2.5,1977,NA,"No","Fair","Medium",22.25,74,9,"No",2,"No"
1983700,1757,6776,2,2.5,1979,NA,"No","Fair","Medium",17.25,73.6,6,"No",0,"No"
6940800,2353,7510,3,2.5,2013,2024,"Yes","Good","Medium",12.39,49.7,6,"Yes",3,"No"
33535500,3432,9169,4,3,2023,NA,"No","Good","High",8.33,44.4,9,"Yes",3,"No"
111685900,3429,7714,6,4.5,2005,NA,"No","Good","Premium",2.5,9.5,9,"Yes",2,"No"
10144400,1127,2867,3,2.5,1996,NA,"No","Fair","Low",27.84,79,4,"No",2,"No"
252061300,4210,8034,5,4,2016,2024,"Yes","Excellent","Premium",1.1,15.9,9,"Yes",3,"Yes"
5873300,689,2000,3,3.5,1978,NA,"No","Fair","Low",27.14,82.6,4,"No",0,"No"
3872800,1704,2362,4,3.5,1969,NA,"No","Fair","Medium",18.31,57.9,8,"No",0,"No"
3941100,1368,4199,2,2.5,1956,NA,"No","Fair","Low",22.66,70.5,4,"No",1,"No"
38170800,1256,3358,4,4,1974,1993,"Yes","Excellent","Low",17.28,56.9,5,"No",2,"No"
3805200,731,2000,2,2,1948,NA,"No","Poor","Low",26.24,70.2,5,"No",0,"No"
28051300,2409,6028,5,4,2006,2024,"Yes","Good","High",9.64,47,9,"Yes",2,"No"
4035500,783,2000,3,2,1952,NA,"No","Fair","Low",16.92,70.5,2,"No",2,"No"
103217900,2859,8371,4,3.5,2022,2024,"Yes","Good","Premium",1.79,13.2,9,"Yes",3,"No"
33439300,2475,6620,5,3.5,2015,2021,"Yes","Good","High",5.07,34.3,8,"No",1,"No"
9030300,1307,4806,4,3,1946,NA,"No","Fair","Low",36.89,78.4,3,"No",2,"No"
84375600,3516,7698,6,4,2024,2024,"Yes","Excellent","Premium",1.29,9.1,9,"No",1,"No"
10005400,2125,7081,4,3.5,1984,NA,"No","Fair","High",11.73,31.8,8,"No",1,"No"
160004000,3519,8837,5,4,1996,NA,"No","Fair","Premium",4.76,24.8,10,"Yes",4,"No"
18307800,783,3068,1,1,1958,1973,"Yes","Good","Low",24.49,77.9,6,"No",1,"No"
12587200,2499,9327,4,3,1992,NA,"No","Good","High",5.49,24.1,8,"No",1,"No"
5758200,1581,3525,4,2.5,2002,2019,"Yes","Good","Medium",20.32,58.9,7,"No",2,"No"
16676400,2328,6090,5,4,1991,NA,"No","Good","High",5.04,20.6,9,"Yes",2,"No"
3146000,650,2000,2,1,1959,NA,"No","Poor","Low",18.72,93.3,5,"No",2,"No"
64772200,2723,5802,4,2.5,2019,2024,"Yes","Excellent","High",7.96,31.9,8,"Yes",3,"No"
4838000,1548,5277,2,2.5,1985,NA,"No","Fair","Low",38.32,73.5,4,"No",1,"No"
39301300,3139,8412,5,3.5,2015,NA,"No","Good","High",6.52,33.2,8,"Yes",4,"No"
5465100,1712,4410,2,2,2008,2024,"Yes","Good","Medium",16.12,67,5,"No",0,"No"
2412700,1771,3155,3,3.5,1965,NA,"No","Poor","Medium",13.98,43.3,7,"No",0,"No"
30788200,1349,3071,4,2.5,1947,NA,"No","Poor","Low",37.36,63,4,"Yes",3,"No"
1693400,1288,3527,4,3,1977,NA,"No","Poor","Medium",11.24,39.7,8,"No",1,"No"
12606000,2714,5933,4,3,1998,NA,"No","Fair","High",7.93,53.7,7,"No",3,"No"
66534300,3118,7588,6,4.5,2016,NA,"No","Fair","Premium",3.48,21.3,9,"No",1,"No"
211647900,4578,7667,5,3,2013,2021,"Yes","Excellent","Premium",2.3,0,10,"Yes",2,"No"
18199300,2352,4531,4,3,1979,NA,"No","Fair","Medium",24.45,72.2,7,"Yes",4,"No"
5688500,1636,3703,4,3.5,1953,NA,"No","Fair","Low",20.23,76.1,5,"No",0,"No"
12728700,2410,7976,4,2,2015,2024,"Yes","Excellent","Medium",8.66,56.6,5,"No",1,"No"
33026700,2806,3505,3,3.5,2022,2024,"Yes","Excellent","High",3.54,30.9,8,"Yes",4,"No"
29143700,2548,8387,4,4,1996,NA,"No","Good","Premium",5.45,6.2,9,"No",2,"No"
37299000,2005,4095,5,4,1996,NA,"No","Good","High",6.57,32.2,7,"Yes",3,"No"
8754000,1496,4475,4,4,1966,NA,"No","Fair","Low",35.3,78,5,"No",2,"No"
